Epochs|Learning rate|Layers|Channels|Test Precision|Test Accuracy|Test Recall|Test F1|Loss|Duration
50|0.001|1|16|0.7777777777777778|0.8157894736842105|0.8135828135828136|0.8137254901960784|5.0586734395474195|2.772143840789795
50|0.001|1|16|0.7875|0.7236842105263158|0.7251420454545454|0.7205882352941178|5.350692067295313|2.677356719970703
50|0.001|1|16|0.8888888888888888|0.8223684210526315|0.8275711541819453|0.8222991989608139|6.36073250696063|2.784911632537842
50|0.001|1|16|0.8433734939759037|0.8289473684210527|0.8274838484372272|0.8274838484372272|5.452253416180611|2.685380458831787
50|0.001|1|16|0.9|0.8223684210526315|0.8300306251125923|0.8195488721804511|5.120026646181941|2.6641485691070557
100|0.001|1|16|0.7764705882352941|0.7960526315789473|0.7946985446985446|0.7949788974459383|6.9652841947972775|5.403841257095337
100|0.001|1|16|0.8117647058823529|0.7697368421052632|0.7670454545454546|0.7652561443762962|6.31834103167057|5.6885826587677
100|0.001|1|16|0.9078947368421053|0.8618421052631579|0.8649380129212503|0.8615484710474951|7.052442044951022|5.640311241149902
100|0.001|1|16|0.8433734939759037|0.8289473684210527|0.8274838484372272|0.8274838484372272|7.071762029081583|5.437675714492798
100|0.001|1|16|0.8902439024390244|0.8223684210526315|0.8273284092956223|0.8189118828045714|6.447302897460759|6.3224945068359375
150|0.001|1|16|0.7865168539325843|0.8223684210526315|0.8203395703395704|0.8206215306613052|5.626556327100843|8.037308931350708
150|0.001|1|16|0.8048780487804879|0.75|0.75|0.7464442493415278|7.164322801399976|7.809581279754639
150|0.001|1|16|0.9102564102564102|0.875|0.8769862056923345|0.8745602223863094|7.891684711910784|7.767191171646118
150|0.001|1|16|0.8452380952380952|0.8355263157894737|0.8335079448227694|0.8339088246863936|6.2400367758236825|9.80349063873291
150|0.001|1|16|0.8888888888888888|0.8157894736842105|0.8218339038011169|0.8125440451021847|6.896720936521888|9.945553541183472
200|0.001|1|16|0.7738095238095238|0.7894736842105263|0.7882882882882882|0.7885585115632063|6.737757285125554|13.296800136566162
200|0.001|1|16|0.7586206896551724|0.7171052631578947|0.7109375|0.7104761904761905|7.1729331887327135|13.448484897613525
200|0.001|1|16|0.8452380952380952|0.8355263157894737|0.8335079448227694|0.8339088246863936|6.767039375379682|13.300492763519287
200|0.001|1|16|0.8292682926829268|0.8092105263157895|0.8081892788545486|0.8078046653586222|6.456210368312895|13.357976198196411
200|0.001|1|16|0.8705882352941177|0.8157894736842105|0.8164294721671771|0.8110795454545455|7.178068813402206|13.43334436416626
50|0.001|2|16|0.8148148148148148|0.8223684210526315|0.8217255717255717|0.8219908913467795|7.456673558801413|6.47352933883667
50|0.001|2|16|0.7974683544303798|0.7302631578947368|0.7329545454545454|0.7276104724856856|5.188535440713167|6.513142347335815
