|Concept|Class
9181|Hardness|http://dbpedia.org/resource/Category:Matter
9182|Hardness|http://dbpedia.org/resource/Category:Condensed_matter_physics
9183|Hardness|http://dbpedia.org/resource/Category:Solid_mechanics
9184|Hardness|http://dbpedia.org/resource/Category:Hardness_tests
9185|Hardness|http://dbpedia.org/resource/Category:Materials_science
9186|Human_eye|http://dbpedia.org/resource/Category:Sensory_organs
9187|Human_eye|http://dbpedia.org/resource/Category:Facial_features
9188|Human_eye|http://dbpedia.org/resource/Category:Vision_by_taxon
9189|Human_eye|http://dbpedia.org/resource/Category:Human_eye
9190|Human_eye|http://dbpedia.org/resource/Category:Ophthalmology
9191|Human_eye|http://dbpedia.org/resource/Category:Visual_system
9192|Ray_(optics)|http://dbpedia.org/resource/Category:Fiber_optics
9193|Ray_(optics)|http://dbpedia.org/resource/Category:Geometrical_optics
9194|Specular_reflection|http://dbpedia.org/resource/Category:Geometrical_optics
9195|Refraction|http://dbpedia.org/resource/Category:Refraction
9196|Refraction|http://dbpedia.org/resource/Category:Physical_optics
9197|Refraction|http://dbpedia.org/resource/Category:Physical_phenomena
9198|Refraction|http://dbpedia.org/resource/Category:Geometrical_optics
9199|Refractive_index|http://dbpedia.org/resource/Category:Refraction
9200|Refractive_index|http://dbpedia.org/resource/Category:Physical_quantities
9201|Refractive_index|http://dbpedia.org/resource/Category:Dimensionless_numbers
9202|Glass|http://dbpedia.org/resource/Category:Glass
9203|Glass|http://dbpedia.org/resource/Category:Amorphous_solids
9204|Glass|http://dbpedia.org/resource/Category:Packaging_materials
9205|Glass|http://dbpedia.org/resource/Category:Sculpture_materials
9206|Glass|http://dbpedia.org/resource/Category:Windows
9207|Glass|http://dbpedia.org/resource/Category:Dielectrics
9208|Glass|http://dbpedia.org/resource/Category:Materials
9209|Marching_band|http://dbpedia.org/resource/Category:Marching
9210|Marching_band|http://dbpedia.org/resource/Category:Marching_bands
9211|Marching_band|http://dbpedia.org/resource/Category:Types_of_musical_groups
9212|Marching_band|http://dbpedia.org/resource/Category:Military_marching
9213|Marching_band|http://dbpedia.org/resource/Category:Articles_containing_video_clips
9214|Straw|http://dbpedia.org/resource/Category:Packaging_materials
9215|Straw|http://dbpedia.org/resource/Category:Biomass
9216|Straw|http://dbpedia.org/resource/Category:Natural_materials
9217|Straw|http://dbpedia.org/resource/Category:Biodegradable_materials
9218|Straw|http://dbpedia.org/resource/Category:Soil_erosion
9219|Straw|http://dbpedia.org/resource/Category:Building_insulation_materials
9220|Fast_bowling|http://dbpedia.org/resource/Category:Cricket_terminology
9221|Fast_bowling|http://dbpedia.org/resource/Category:Articles_containing_video_clips
