|Concept|Class
112|Reproduction|http://dbpedia.org/ontology/Election
113|Thymine|http://www.w3.org/2002/07/owl#Thing
114|Thymine|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
115|Thymine|http://dbpedia.org/ontology/ChemicalSubstance
116|Thymine|http://dbpedia.org/ontology/ChemicalCompound
117|Adenine|http://www.w3.org/2002/07/owl#Thing
118|Adenine|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
119|Adenine|http://dbpedia.org/ontology/ChemicalSubstance
120|Adenine|http://dbpedia.org/ontology/ChemicalCompound
121|Amino_acid|http://www.w3.org/2002/07/owl#Thing
122|Base_pair|http://www.w3.org/2002/07/owl#Thing
123|Base_pair|http://dbpedia.org/ontology/Organisation
124|Chromosome|http://www.w3.org/2002/07/owl#Thing
125|Cytosine|http://www.w3.org/2002/07/owl#Thing
126|Cytosine|http://dbpedia.org/ontology/Place
127|Cytosine|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
128|Cytosine|http://dbpedia.org/ontology/ChemicalSubstance
129|Cytosine|http://dbpedia.org/ontology/ChemicalCompound
130|Cytosine|http://dbpedia.org/ontology/Drug
131|Guanine|http://www.w3.org/2002/07/owl#Thing
132|Guanine|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
133|Guanine|http://dbpedia.org/ontology/ChemicalSubstance
134|Guanine|http://dbpedia.org/ontology/ChemicalCompound
135|Guanine|http://dbpedia.org/ontology/Drug
136|Human_genome|http://www.w3.org/2002/07/owl#Thing
137|Insulin|http://www.w3.org/2002/07/owl#Thing
138|Insulin|http://dbpedia.org/ontology/Protein
139|Messenger_RNA|http://www.w3.org/2002/07/owl#Thing
140|RNA|http://www.w3.org/2002/07/owl#Thing
141|RNA|http://dbpedia.org/ontology/ChemicalCompound
142|Ribosome|http://www.w3.org/2002/07/owl#Thing
143|Ribosome|http://dbpedia.org/ontology/Software
144|Transfer_RNA|http://www.w3.org/2002/07/owl#Thing
145|Transfer_RNA|http://dbpedia.org/ontology/ChemicalCompound
146|Uracil|http://www.w3.org/2002/07/owl#Thing
147|Uracil|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
148|Uracil|http://dbpedia.org/ontology/ChemicalSubstance
149|Uracil|http://dbpedia.org/ontology/ChemicalCompound
150|Allele|http://www.w3.org/2002/07/owl#Thing
151|Genotype|http://www.w3.org/2002/07/owl#Thing
152|Homologous_chromosome|http://www.w3.org/2002/07/owl#Thing
153|Meiosis|http://www.w3.org/2002/07/owl#Thing
154|Mitosis|http://www.w3.org/2002/07/owl#Thing
155|Sexual_reproduction|http://www.w3.org/2002/07/owl#Thing
156|Sperm|http://www.w3.org/2002/07/owl#Thing
157|Sperm|http://dbpedia.org/ontology/AnatomicalStructure
158|Sperm|http://dbpedia.org/ontology/Album
159|Cell_(biology)|http://www.w3.org/2002/07/owl#Thing
160|Cell_(biology)|http://dbpedia.org/ontology/AnatomicalStructure
161|Cell_(biology)|http://dbpedia.org/ontology/Organisation
162|Centromere|http://www.w3.org/2002/07/owl#Thing
163|Chromatid|http://dbpedia.org/ontology/Weapon
164|Chromatin|http://www.w3.org/2002/07/owl#Thing
165|Chromatin|http://dbpedia.org/ontology/Building
166|Genetics|http://www.w3.org/2002/07/owl#Thing
167|Genetics|http://dbpedia.org/ontology/Book
168|Genetics|http://dbpedia.org/ontology/PersonFunction
169|Histone|http://www.w3.org/2002/07/owl#Thing
170|Egg_cell|http://www.w3.org/2002/07/owl#Thing
171|Egg_cell|http://dbpedia.org/ontology/AnatomicalStructure
172|Gamete|http://www.w3.org/2002/07/owl#Thing
173|Gamete|http://dbpedia.org/ontology/AnatomicalStructure
174|Gamete|http://dbpedia.org/ontology/Embryology
175|Germ_cell|http://www.w3.org/2002/07/owl#Thing
176|Mutation|http://www.w3.org/2002/07/owl#Thing
177|Mutation|http://dbpedia.org/ontology/Disease
178|Mutation|http://dbpedia.org/ontology/Plant
179|Ploidy|http://www.w3.org/2002/07/owl#Thing
180|Somatic_cell|http://www.w3.org/2002/07/owl#Thing
181|Somatic_cell|http://dbpedia.org/ontology/AnatomicalStructure
182|Zygote|http://www.w3.org/2002/07/owl#Thing
183|Zygote|http://dbpedia.org/ontology/AnatomicalStructure
184|Zygote|http://dbpedia.org/ontology/Embryology
185|Anaphase|http://www.w3.org/2002/07/owl#Thing
186|Anaphase|http://dbpedia.org/ontology/Person
187|Centriole|http://www.w3.org/2002/07/owl#Thing
188|Centriole|http://dbpedia.org/ontology/Building
189|Centrosome|http://www.w3.org/2002/07/owl#Thing
190|Centrosome|http://dbpedia.org/ontology/Protein
191|Cytokinesis|http://dbpedia.org/ontology/Election
192|Cytoplasm|http://www.w3.org/2002/07/owl#Thing
193|Interphase|http://www.w3.org/2002/07/owl#Thing
194|Interphase|http://dbpedia.org/ontology/MilitaryConflict
