OER|Concept|PR
5|http://en.wikipedia.org/wiki/Uracil|0.005692623
5|http://en.wikipedia.org/wiki/Uracil|0.006156882
6|http://en.wikipedia.org/wiki/Allele|0.006183705
6|http://en.wikipedia.org/wiki/Allele|0.006266629
6|http://en.wikipedia.org/wiki/Chromosome|0.01158233
6|http://en.wikipedia.org/wiki/Chromosome|0.01247845
6|http://en.wikipedia.org/wiki/Cytosine|0.005098854
6|http://en.wikipedia.org/wiki/DNA|0.006649396
6|http://en.wikipedia.org/wiki/DNA|0.00744009
6|http://en.wikipedia.org/wiki/Gene|0.01417252
6|http://en.wikipedia.org/wiki/Gene|0.01422438
6|http://en.wikipedia.org/wiki/Genotype|0.006334794
6|http://en.wikipedia.org/wiki/Homologous_chromosome|0.005781117
6|http://en.wikipedia.org/wiki/Homology_(biology)|0.006025734
6|http://en.wikipedia.org/wiki/Meiosis|0.01309222
6|http://en.wikipedia.org/wiki/Mitosis|0.005877609
6|http://en.wikipedia.org/wiki/Natural_selection|0.006749835
6|http://en.wikipedia.org/wiki/Sexual_reproduction|0.005722302
6|http://en.wikipedia.org/wiki/Sperm|0.006707879
7|http://en.wikipedia.org/wiki/Adenine|0.006929636
7|http://en.wikipedia.org/wiki/Amino_acid|0.006145903
7|http://en.wikipedia.org/wiki/Base_pair|0.005145947
7|http://en.wikipedia.org/wiki/Cell_(biology)|0.005196595
7|http://en.wikipedia.org/wiki/Centromere|0.007667888
7|http://en.wikipedia.org/wiki/Chromatid|0.02289946
7|http://en.wikipedia.org/wiki/Chromatin|0.01235015
7|http://en.wikipedia.org/wiki/Chromosome|0.005024366
7|http://en.wikipedia.org/wiki/Chromosome|0.02096483
7|http://en.wikipedia.org/wiki/Cytosine|0.008646414
7|http://en.wikipedia.org/wiki/DNA|0.01279999
7|http://en.wikipedia.org/wiki/DNA|0.01437009
7|http://en.wikipedia.org/wiki/Genetics|0.005180165
7|http://en.wikipedia.org/wiki/Guanine|0.007009825
7|http://en.wikipedia.org/wiki/Histone|0.005597748
7|http://en.wikipedia.org/wiki/Meiosis|0.01212741
7|http://en.wikipedia.org/wiki/Messenger_RNA|0.007557248
7|http://en.wikipedia.org/wiki/Mitosis|0.01141311
7|http://en.wikipedia.org/wiki/Protein|0.006181386
7|http://en.wikipedia.org/wiki/Protein|0.007859063
7|http://en.wikipedia.org/wiki/RNA|0.005129789
7|http://en.wikipedia.org/wiki/Ribosome|0.005131525
7|http://en.wikipedia.org/wiki/Thymine|0.00897205
7|http://en.wikipedia.org/wiki/Transfer_RNA|0.006226899
7|http://en.wikipedia.org/wiki/Uracil|0.005701745
8|http://en.wikipedia.org/wiki/Cell_(biology)|0.005661904
8|http://en.wikipedia.org/wiki/Chromosome|0.006917306
8|http://en.wikipedia.org/wiki/Chromosome|0.01618426
8|http://en.wikipedia.org/wiki/DNA|0.005283307
8|http://en.wikipedia.org/wiki/Egg_cell|0.005037093
8|http://en.wikipedia.org/wiki/Gamete|0.008107298
