|Model|Validation AUC|Validation Precision|Validation Accuracy|Validation Recall|Validation F1|Test AUC|Test Precision|Test Accuracy|Test Recall|Test F1
0|Linear|0.5238095238095237|0.5217391304347826|0.5238095238095238|0.5238095238095237|0.5227272727272727|0.5|0.5|0.5|0.5|0.4954233409610984
1|SVM|0.5952380952380952|0.6|0.5952380952380952|0.5952380952380952|0.5950085082246171|0.6309523809523809|0.6486486486486487|0.6309523809523809|0.6309523809523809|0.6296401649836438
2|GNB|0.5952380952380952|0.6|0.5952380952380952|0.5952380952380952|0.5950085082246171|0.5|0.5|0.5|0.5|0.49743589743589745
3|KNN|0.5357142857142857|0.5294117647058824|0.5357142857142857|0.5357142857142857|0.5303225806451612|0.6785714285714286|0.631578947368421|0.6785714285714286|0.6785714285714286|0.6679841897233202
