Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,64,44.917580366134644,BERT,dct,0.9024390243902439,0.9210526315789473,0.9203049203049203,0.9208333333333334,5.904627288920892,44.91449046134949,Reinjection,OYC
300,0.01,6,64,45.07061457633972,BERT,dct,0.9302325581395349,0.9078947368421053,0.9076704545454546,0.9059239610963749,18.094785022636643,45.067946672439575,Reinjection,OYC
300,0.01,6,64,50.01468634605408,BERT,dct,0.9101123595505618,0.9342105263157895,0.9299807927361621,0.9330514446793517,11.4147336768292,50.0104615688324,Reinjection,OYC
300,0.01,6,64,49.834429025650024,BERT,dct,0.9176470588235294,0.9210526315789473,0.9191548803911298,0.9201680672268908,5.413815122701635,49.83054709434509,Reinjection,OYC
300,0.01,6,64,48.24680233001709,BERT,dct,0.9325842696629213,0.9078947368421053,0.9068636281751036,0.9046594982078854,6.550082221918274,48.24368190765381,Reinjection,OYC
300,0.01,6,64,15.788475751876831,BERT,dct,0.9367088607594937,0.9407894736842105,0.9405751905751906,0.9407253347198752,9.779669875111722,15.766749620437622,NoEnrichment,OYC
300,0.01,6,64,15.876516819000244,BERT,dct,0.9425287356321839,0.9276315789473685,0.9268465909090908,0.9259357696566999,9.106645659758215,15.874688625335693,NoEnrichment,OYC
300,0.01,6,64,16.107520818710327,BERT,dct,0.9186046511627907,0.9276315789473685,0.9251789767766718,0.9267148805610343,7.763892943668907,16.105859756469727,NoEnrichment,OYC
300,0.01,6,64,16.478152751922607,BERT,dct,0.9058823529411765,0.9078947368421053,0.9058844071939933,0.9068627450980393,7.831072289030999,16.476569652557373,NoEnrichment,OYC
300,0.01,6,64,15.889100790023804,BERT,dct,0.9550561797752809,0.9342105263157895,0.9342460817870655,0.931899641577061,14.909007213565928,15.88733458518982,NoEnrichment,OYC
300,0.01,6,64,32.7609646320343,BERT,dct,0.8313253012048193,0.8486842105263158,0.8477130977130978,0.8481518481518482,110.36236166208982,32.75940132141113,Conv,OYC
300,0.01,6,64,31.053176403045654,BERT,dct,0.8723404255319149,0.881578947368421,0.8721590909090908,0.8767789587461718,120.39592529833317,31.052276611328125,Conv,OYC
300,0.01,6,64,31.250858068466187,BERT,dct,0.8444444444444444,0.8618421052631579,0.8563820499388859,0.8591536866257776,110.12269154936075,31.24978756904602,Conv,OYC
300,0.01,6,64,39.48354744911194,BERT,dct,0.8351648351648352,0.8552631578947368,0.8491356731272918,0.8521662245800177,121.45820918679237,39.482627391815186,Conv,OYC
300,0.01,6,64,35.13947367668152,BERT,dct,0.8888888888888888,0.8157894736842105,0.8218339038011169,0.8125440451021847,134.26711378991604,35.13711476325989,Conv,OYC
300,0.01,6,64,317.9069495201111,BERT,dct,0.8295454545454546,0.868421052631579,0.8665973665973665,0.8672952680286363,45.49648378236452,317.90044808387756,GAT,OYC
300,0.01,6,64,315.3666651248932,BERT,dct,0.8620689655172413,0.8355263157894737,0.8323863636363636,0.8316722037652271,46.505325896985596,315.3618447780609,GAT,OYC
300,0.01,6,64,320.77216625213623,BERT,dct,0.7708333333333334,0.7960526315789473,0.786362842675048,0.7894078212290503,72.7479874547571,320.76768708229065,GAT,OYC
300,0.01,6,64,321.55612421035767,BERT,dct,0.875,0.8486842105263158,0.8492229788720098,0.847887569072793,29.720160117722116,321.55088090896606,GAT,OYC
300,0.01,6,64,307.7090413570404,BERT,dct,0.9523809523809523,0.9013157894736842,0.9067735543145379,0.8990033222591363,52.053307675756514,307.7045216560364,GAT,OYC
300,0.01,6,64,57.873294830322266,BERT,dct,0.9024390243902439,0.9210526315789473,0.9203049203049203,0.9208333333333334,7.661634834388678,57.86969494819641,SAGE,OYC
300,0.01,6,64,48.05556511878967,BERT,dct,0.9195402298850575,0.9013157894736842,0.8998579545454546,0.8990033222591363,16.840270203865657,48.050389528274536,SAGE,OYC
300,0.01,6,64,46.12979531288147,BERT,dct,0.9294117647058824,0.9342105263157895,0.9324253535882661,0.9334733893557423,7.321131458695163,46.12568664550781,SAGE,OYC
300,0.01,6,64,44.59141278266907,BERT,dct,0.8586956521739131,0.8881578947368421,0.8817007159071066,0.8855370985603543,10.509498869130766,44.588916301727295,SAGE,OYC
300,0.01,6,64,45.62923216819763,BERT,dct,0.9418604651162791,0.9013157894736842,0.904071338497568,0.8985720005338316,7.517067017961381,45.626771688461304,SAGE,OYC
