Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
50,0.001,1,16,1.5239005088806152,embedd-er,dct,0.8911917098445595,0.8901408450704226,0.8889952153110048,0.8894531343569597,6.208981519564986,1.5217320919036865,Reinjection,MIT
50,0.001,1,16,1.6551485061645508,embedd-er,dct,0.907103825136612,0.8704225352112676,0.8725160256410256,0.8698763307197042,6.723919656127691,1.6540119647979736,Reinjection,MIT
50,0.001,1,16,1.4659900665283203,embedd-er,dct,0.93717277486911,0.8788732394366198,0.8848111658456486,0.8768047518743595,6.638457227498293,1.4649932384490967,Reinjection,MIT
50,0.001,1,16,1.7240493297576904,embedd-er,dct,0.9,0.8873239436619719,0.887030291411043,0.8866683693014941,6.008557582274079,1.7229454517364502,Reinjection,MIT
50,0.001,1,16,1.6788172721862793,embedd-er,dct,0.9067357512953368,0.876750700280112,0.8776310753922694,0.8754124365482234,7.499358758330345,1.6779649257659912,Reinjection,MIT
50,0.01,1,16,1.6306211948394775,embedd-er,dct,0.8719211822660099,0.8901408450704226,0.8870015948963317,0.8888674838057168,5.188151888898574,1.6297435760498047,Reinjection,MIT
50,0.01,1,16,1.440798282623291,embedd-er,dct,0.9052631578947369,0.8845070422535212,0.884775641025641,0.8836763236763236,4.468017637729645,1.4399387836456299,Reinjection,MIT
50,0.01,1,16,1.3091485500335693,embedd-er,dct,0.9132653061224489,0.8647887323943662,0.8675697865353038,0.8619393310863365,5.103681406209944,1.3079051971435547,Reinjection,MIT
50,0.01,1,16,1.2860019207000732,embedd-er,dct,0.87,0.8760563380281691,0.8733703987730062,0.8746951610833013,5.3511309284949675,1.2851552963256836,Reinjection,MIT
50,0.01,1,16,1.2950217723846436,embedd-er,dct,0.8719211822660099,0.8599439775910365,0.8569651741293532,0.8574736505908656,4.3658311673789285,1.2941389083862305,Reinjection,MIT
50,0.1,1,16,1.2816886901855469,embedd-er,dct,0.8078817733990148,0.8169014084507042,0.8133971291866029,0.8147791396761946,14.026983240619302,1.280808925628662,Reinjection,MIT
50,0.1,1,16,1.277134656906128,embedd-er,dct,0.8514851485148515,0.8507042253521127,0.847275641025641,0.848584833535864,14.987554654479027,1.2762267589569092,Reinjection,MIT
50,0.1,1,16,1.4274942874908447,embedd-er,dct,0.8787878787878788,0.8309859154929577,0.8315270935960591,0.8271328398909232,16.76106472313404,1.4266414642333984,Reinjection,MIT
50,0.1,1,16,1.2473833560943604,embedd-er,dct,0.845771144278607,0.8507042253521127,0.8476163087934561,0.8489737600436664,15.580826759338379,1.246544361114502,Reinjection,MIT
50,0.1,1,16,1.3019225597381592,embedd-er,dct,0.8844221105527639,0.865546218487395,0.8640929965556832,0.8635668789808917,10.501346238190308,1.3010814189910889,Reinjection,MIT
50,0.001,2,16,1.6400964260101318,embedd-er,dct,0.8994708994708994,0.8901408450704226,0.889792663476874,0.889636425957959,6.889976814389229,1.6387903690338135,Reinjection,MIT
50,0.001,2,16,1.6869657039642334,embedd-er,dct,0.9184782608695652,0.8845070422535212,0.8864583333333333,0.8839767554942646,6.773698456585407,1.6856427192687988,Reinjection,MIT
50,0.001,2,16,1.6555263996124268,embedd-er,dct,0.916256157635468,0.8845070422535212,0.8842364532019704,0.8813396271023389,7.138542372733355,1.6543307304382324,Reinjection,MIT
50,0.001,2,16,1.6815803050994873,embedd-er,dct,0.91005291005291,0.895774647887324,0.895769427402863,0.895212566514292,6.784484874457121,1.6802449226379395,Reinjection,MIT
50,0.001,2,16,1.6628878116607666,embedd-er,dct,0.9148936170212766,0.8739495798319328,0.8765786452353617,0.8729286138026497,8.852970954030752,1.661757469177246,Reinjection,MIT
50,0.01,2,16,1.6872026920318604,embedd-er,dct,0.8844221105527639,0.895774647887324,0.8934609250398724,0.8948097606291394,5.242802528373431,1.6857857704162598,Reinjection,MIT
50,0.01,2,16,1.754117488861084,embedd-er,dct,0.9095744680851063,0.8845070422535212,0.8853365384615385,0.8837840643239834,5.7634986572375055,1.7529330253601074,Reinjection,MIT
50,0.01,2,16,1.7031230926513672,embedd-er,dct,0.9292929292929293,0.8873239436619719,0.8898193760262726,0.8847552265939489,4.607065500982571,1.7019109725952148,Reinjection,MIT
50,0.01,2,16,1.7003424167633057,embedd-er,dct,0.8811881188118812,0.8929577464788733,0.8899220347648262,0.8916500674677119,4.461335772270104,1.699094533920288,Reinjection,MIT
50,0.01,2,16,1.7815182209014893,embedd-er,dct,0.8926829268292683,0.8879551820728291,0.8847110600841943,0.8858038513210926,5.008097024227027,1.7800734043121338,Reinjection,MIT
50,0.1,2,16,1.6966564655303955,embedd-er,dct,0.8393782383419689,0.8338028169014085,0.8323763955342902,0.8327624340271955,19.996119186282158,1.6953091621398926,Reinjection,MIT
50,0.1,2,16,2.019040822982788,embedd-er,dct,0.8421052631578947,0.8169014084507042,0.8165064102564102,0.8155844155844156,17.357126384973526,2.0177576541900635,Reinjection,MIT
50,0.1,2,16,2.175283432006836,embedd-er,dct,0.8532110091743119,0.8422535211267606,0.8325123152709359,0.8352886591104924,23.274196803569794,2.1731624603271484,Reinjection,MIT
50,0.1,2,16,1.9935603141784668,embedd-er,dct,0.8564593301435407,0.8788732394366198,0.8741212934560327,0.8768047518743594,21.709298685193062,1.9912967681884766,Reinjection,MIT
50,0.1,2,16,1.8814847469329834,embedd-er,dct,0.8719211822660099,0.8599439775910365,0.8569651741293532,0.8574736505908656,16.81330581754446,1.8788490295410156,Reinjection,MIT
