Epochs,Learning rate,Layers,Channels,Time,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,16,26.871229887008667,0.7840909090909091,0.8157894736842105,0.8139293139293139,0.8142133752400907,3.5493911325611407,26.868731021881104,Reinjection,OYC
300,0.01,6,16,26.689618349075317,0.7590361445783133,0.7039473684210527,0.7017045454545454,0.6992481203007519,2.6882671577895962,26.686915636062622,Reinjection,OYC
300,0.01,6,16,28.724358558654785,0.8674698795180723,0.8552631578947368,0.8540247948314998,0.8540247948314998,3.269882378899638,28.721890687942505,Reinjection,OYC
300,0.01,6,16,26.980367422103882,0.8352941176470589,0.8289473684210527,0.8262615680111751,0.8270308123249299,3.0177479691337794,26.97728204727173,Reinjection,OYC
300,0.01,6,16,27.445386171340942,0.8902439024390244,0.8223684210526315,0.8273284092956223,0.8189118828045714,3.041614446177846,27.439913034439087,Reinjection,OYC
300,0.01,6,16,10.583954095840454,0.8433734939759037,0.8618421052631579,0.860880110880111,0.8613560352690787,6.48496160706236,10.581328630447388,NoEnrichment,OYC
300,0.01,6,16,10.096248626708984,0.8765432098765432,0.8223684210526315,0.8252840909090908,0.8201183431952663,5.208370173282674,10.094632863998413,NoEnrichment,OYC
300,0.01,6,16,10.47394847869873,0.8518518518518519,0.8289473684210527,0.8287061288632792,0.8278745644599304,6.10942241187513,10.472535848617554,NoEnrichment,OYC
300,0.01,6,16,9.267712593078613,0.8470588235294118,0.8421052631578947,0.8395320412083116,0.8403361344537816,6.963085523068003,9.266424417495728,NoEnrichment,OYC
300,0.01,6,16,9.192232608795166,0.9,0.8223684210526315,0.8300306251125923,0.8195488721804511,5.3527237389153015,9.19087529182434,NoEnrichment,OYC
300,0.01,6,16,12.336116313934326,0.6379310344827587,0.5921052631578947,0.5952875952875953,0.5875350140056023,169.03461408615112,12.333850145339966,Conv,OYC
300,0.01,6,16,12.086223125457764,0.6666666666666666,0.5460526315789473,0.5674715909090909,0.5450878334417697,168.13678389787674,12.08495044708252,Conv,OYC
300,0.01,6,16,12.376574993133545,0.6031746031746031,0.5394736842105263,0.5477562423607473,0.5387549852609674,165.03857877850533,12.375453233718872,Conv,OYC
300,0.01,6,16,14.720956802368164,0.6333333333333333,0.6118421052631579,0.6042430591932949,0.6042889290914707,166.7989178299904,14.720065593719482,Conv,OYC
300,0.01,6,16,13.985125064849854,0.8235294117647058,0.5460526315789473,0.6046658259773015,0.5312625698324023,170.74870938062668,13.98369026184082,Conv,OYC
300,0.01,6,16,108.20238423347473,0.7325581395348837,0.75,0.7484407484407485,0.7484320557491289,19.96404657046878,108.19897556304932,GAT,OYC
300,0.01,6,16,109.86330318450928,0.8133333333333334,0.7302631578947368,0.7372159090909092,0.7288430579123699,79.6073057204485,109.85922932624817,GAT,OYC
300,0.01,6,16,110.7930998802185,0.7710843373493976,0.75,0.7478610092544089,0.7478610092544089,17.706892631871597,110.78825044631958,GAT,OYC
300,0.01,6,16,109.57314324378967,0.7073170731707317,0.6776315789473685,0.6754845468831849,0.6752561587093961,16.139029650941666,109.56805658340454,GAT,OYC
300,0.01,6,16,110.78561472892761,0.8518518518518519,0.7763157894736842,0.7807602233831742,0.7723749119097957,29.435538258119777,110.7810287475586,GAT,OYC
300,0.01,6,16,23.591963291168213,0.8095238095238095,0.8289473684210527,0.8277893277893278,0.8282037906451052,8.879181170736047,23.58911442756653,SAGE,OYC
300,0.01,6,16,21.257574558258057,0.8181818181818182,0.7894736842105263,0.7840909090909092,0.7840909090909092,9.415987436879732,21.25566530227661,SAGE,OYC
300,0.01,6,16,21.42486572265625,0.8765432098765432,0.8552631578947368,0.855247075257552,0.8543554006968641,10.643510218626034,21.42084240913391,SAGE,OYC
300,0.01,6,16,21.42137098312378,0.8023255813953488,0.7960526315789473,0.7924742448053081,0.7934692088538242,7.728455062615467,21.417396545410156,SAGE,OYC
300,0.01,6,16,21.36455988883972,0.8571428571428571,0.7960526315789473,0.7972437398666907,0.7912735326688815,9.439974215101756,21.361976623535156,SAGE,OYC
