Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,64,45.421332120895386,BERT,dct,0.7948717948717948,0.7887323943661971,0.786682615629984,0.7872127872127872,22.191464482591982,45.41842484474182,Reinjection,MIT
300,0.01,6,64,43.637728691101074,BERT,dct,0.8645833333333334,0.8450704225352113,0.8443910256410256,0.8438012495900034,19.059205088120507,43.63516330718994,Reinjection,MIT
300,0.01,6,64,40.12962579727173,BERT,dct,0.8556701030927835,0.7971830985915493,0.7986863711001642,0.7932440302853815,40.757454628212145,40.126994609832764,Reinjection,MIT
300,0.01,6,64,35.04126214981079,BERT,dct,0.7537688442211056,0.7436619718309859,0.7403182515337423,0.7409984847148618,28.562929341926065,35.038684129714966,Reinjection,MIT
300,0.01,6,64,34.962743043899536,BERT,dct,0.9077669902912622,0.907563025210084,0.904276693455798,0.9057135311206973,22.26349433046562,34.96009922027588,Reinjection,MIT
300,0.01,6,64,20.10209012031555,BERT,dct,0.8606965174129353,0.8732394366197183,0.8704146730462521,0.8719223276062502,36.10415327026567,20.100621938705444,NoEnrichment,MIT
300,0.01,6,64,20.363458395004272,BERT,dct,0.8434343434343434,0.8338028169014085,0.8313301282051282,0.8318764498599305,32.04021676416596,20.36175036430359,NoEnrichment,MIT
300,0.01,6,64,21.140117168426514,BERT,dct,0.9072164948453608,0.8535211267605634,0.8569786535303776,0.8506762440949978,42.85862285440089,21.138370037078857,NoEnrichment,MIT
300,0.01,6,64,20.554720401763916,BERT,dct,0.8556701030927835,0.847887323943662,0.8464020961145194,0.8467184801381693,35.35809213983157,20.552921772003174,NoEnrichment,MIT
300,0.01,6,64,23.0841543674469,BERT,dct,0.8848167539267016,0.8487394957983193,0.8498851894374282,0.8472715173025731,32.10389284767734,23.082463026046753,NoEnrichment,MIT
300,0.01,6,64,21.48488450050354,BERT,dct,0.7386934673366834,0.7323943661971831,0.7292663476874003,0.7299169529667091,102.75262613594532,21.48394227027893,Conv,MIT
300,0.01,6,64,21.534443616867065,BERT,dct,0.7884615384615384,0.7887323943661971,0.7830128205128205,0.7847980536853081,101.93487024307251,21.533639192581177,Conv,MIT
300,0.01,6,64,21.14890694618225,BERT,dct,0.8333333333333334,0.7915492957746478,0.7875205254515599,0.7856280193236715,123.29788592457771,21.14801049232483,Conv,MIT
300,0.01,6,64,21.581998825073242,BERT,dct,0.795,0.7915492957746478,0.7882956288343559,0.7892600436400976,117.23476758599281,21.581140995025635,Conv,MIT
300,0.01,6,64,22.450133800506592,BERT,dct,0.7783505154639175,0.7394957983193278,0.7378013777267509,0.7365104559342883,101.90467976033688,22.448878526687622,Conv,MIT
300,0.01,6,64,202.14775204658508,BERT,dct,0.7311827956989247,0.7070422535211267,0.7063795853269538,0.7060135049050835,104.89198092371225,202.14390778541565,GAT,MIT
300,0.01,6,64,221.18380975723267,BERT,dct,0.7661691542288557,0.752112676056338,0.7479967948717949,0.748761500353857,93.79310869798064,221.17822980880737,GAT,MIT
300,0.01,6,64,234.58292531967163,BERT,dct,0.8648648648648649,0.7887323943661971,0.7947454844006567,0.7860156720916214,93.17747034877539,234.57971000671387,GAT,MIT
300,0.01,6,64,224.20128774642944,BERT,dct,0.772972972972973,0.7436619718309859,0.7435614775051125,0.7426737081909496,104.04755380749702,224.19679856300354,GAT,MIT
300,0.01,6,64,227.36025857925415,BERT,dct,0.7989690721649485,0.7619047619047619,0.7605721393034826,0.7591762231657475,105.31649327091873,227.3537402153015,GAT,MIT
300,0.01,6,64,33.886911153793335,BERT,dct,0.8115942028985508,0.828169014084507,0.8239234449760766,0.8257297140695792,39.86484911128355,33.88408446311951,SAGE,MIT
300,0.01,6,64,27.942766904830933,BERT,dct,0.890625,0.8732394366197183,0.8728365384615384,0.8722010223918208,58.790587206196506,27.940279483795166,SAGE,MIT
300,0.01,6,64,27.68588137626648,BERT,dct,0.8994708994708994,0.8338028169014085,0.8392446633825944,0.8312098574410303,31.950278444754076,27.683387756347656,SAGE,MIT
300,0.01,6,64,27.663994550704956,BERT,dct,0.83,0.8309859154929577,0.8279971881390593,0.8291297651135926,35.0752638631966,27.660093784332275,SAGE,MIT
300,0.01,6,64,30.168457984924316,BERT,dct,0.8585858585858586,0.834733893557423,0.8331419823957138,0.8324143692564745,36.969365987002675,30.165930032730103,SAGE,MIT
