Epochs,Learning rate,Layers,Channels,Time,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,16,20.41242551803589,0.6956521739130435,0.7225806451612903,0.7208527648234511,0.7195927468551475,3.5285475592281728,20.409940719604492,Reinjection,Stanford
300,0.01,6,16,17.925723552703857,0.8170731707317073,0.7870967741935484,0.7869747899159664,0.7858129894058037,3.7808008079373394,17.922666311264038,Reinjection,Stanford
300,0.01,6,16,17.331568717956543,0.7816091954022989,0.7741935483870968,0.7709590878604964,0.7717615381379107,3.1394051288425544,17.329322814941406,Reinjection,Stanford
300,0.01,6,16,18.188021421432495,0.7951807228915663,0.7290322580645161,0.7298248626373627,0.7248985801217039,3.3765423781205754,18.185482501983643,Reinjection,Stanford
300,0.01,6,16,17.69766402244568,0.8539325842696629,0.8129032258064516,0.8098688750862664,0.8074864019872371,3.794048032086721,17.69506335258484,Reinjection,Stanford
300,0.01,6,16,9.316750526428223,0.7682926829268293,0.7741935483870968,0.7737341772151899,0.7738546833965567,9.229763781568181,9.314250469207764,NoEnrichment,Stanford
300,0.01,6,16,8.0364089012146,0.8295454545454546,0.8258064516129032,0.8222689075630252,0.8234251719336736,7.747907866492824,8.035260677337646,NoEnrichment,Stanford
300,0.01,6,16,8.675297260284424,0.8,0.7677419354838709,0.7682763246143527,0.7669562312061478,9.9505748938318,8.673067092895508,NoEnrichment,Stanford
300,0.01,6,16,8.216007471084595,0.85,0.7741935483870968,0.7798763736263736,0.7717615381379107,7.182119561575746,8.214916229248047,NoEnrichment,Stanford
300,0.01,6,16,7.76405143737793,0.9534883720930233,0.9096774193548387,0.9139061421670117,0.9076438542730678,8.088773037194187,7.76275372505188,NoEnrichment,Stanford
300,0.01,6,16,7.144520282745361,0.65625,0.6193548387096774,0.6210859427048634,0.6170595871194674,155.56749537587166,7.142715930938721,Conv,Stanford
300,0.01,6,16,6.8011462688446045,0.5,0.45161290322580644,0.45966386554621846,0.45078994539163786,152.81686916947365,6.8003246784210205,Conv,Stanford
300,0.01,6,16,6.771947622299194,0.620253164556962,0.5806451612903226,0.5803990610328639,0.5795250615583658,160.27016612887383,6.771038770675659,Conv,Stanford
300,0.01,6,16,7.326937437057495,0.684931506849315,0.5870967741935483,0.5950377747252747,0.585699966588707,157.06052681803703,7.325968980789185,Conv,Stanford
300,0.01,6,16,6.467269659042358,0.6619718309859155,0.5548387096774193,0.5649585921325052,0.5536496807311881,152.83936589956284,6.466595649719238,Conv,Stanford
300,0.01,6,16,42.54152488708496,0.6590909090909091,0.6709677419354839,0.6697201865423051,0.6689837108998785,20.00800253867419,42.537392377853394,GAT,Stanford
300,0.01,6,16,39.79548239707947,0.6707317073170732,0.632258064516129,0.630672268907563,0.6300406180645701,26.289726161736326,39.79050278663635,GAT,Stanford
300,0.01,6,16,48.04265308380127,0.6627906976744186,0.6387096774193548,0.6350603621730382,0.6352941176470588,46.006581223220564,48.03951573371887,GAT,Stanford
300,0.01,6,16,40.39185929298401,0.7209302325581395,0.6580645161290323,0.6531593406593407,0.6510343655749544,27.318657949614135,40.38848662376404,GAT,Stanford
300,0.01,6,16,42.82683444023132,0.8125,0.7290322580645161,0.7342132505175983,0.7257330637007078,21.149208834602177,42.82389783859253,GAT,Stanford
300,0.01,6,16,13.63901424407959,0.7333333333333333,0.7612903225806451,0.7598267821452365,0.7593268706198328,10.555518837238196,13.636494159698486,SAGE,Stanford
300,0.01,6,16,13.47980260848999,0.8068181818181818,0.8,0.796218487394958,0.7972659381460698,10.604759571790055,13.477421045303345,SAGE,Stanford
300,0.01,6,16,12.68088436126709,0.788235294117647,0.7741935483870968,0.7720489604292422,0.7723362289647069,13.05301747273188,12.67910361289978,SAGE,Stanford
300,0.01,6,16,10.678733110427856,0.8390804597701149,0.7935483870967742,0.7917239010989011,0.7889002383384406,14.91078339302112,10.676837682723999,SAGE,Stanford
300,0.01,6,16,10.890078067779541,0.8148148148148148,0.7354838709677419,0.739648033126294,0.73186785367706,12.571366872571161,10.886983394622803,SAGE,Stanford
