Epochs,Learning rate,Layers,Channels,Time,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,16,22.549063444137573,0.8823529411764706,0.9144736842105263,0.9132016632016633,0.9140234086063611,12.886159407485593,22.546156644821167,NoReinjection,OYC
300,0.01,6,16,18.09405016899109,0.9176470588235294,0.8881578947368421,0.8884943181818181,0.8859815558399153,11.979027440921186,18.09067440032959,NoReinjection,OYC
300,0.01,6,16,23.60366439819336,0.9176470588235294,0.9210526315789473,0.9191548803911298,0.9201680672268908,10.710753026552425,23.601656198501587,NoReinjection,OYC
300,0.01,6,16,24.689629316329956,0.9195402298850575,0.9342105263157895,0.9312030731622141,0.9332748024582969,10.4898791141934,24.687203645706177,NoReinjection,OYC
300,0.01,6,16,28.75996994972229,0.9325842696629213,0.9078947368421053,0.9068636281751036,0.9046594982078854,10.38050922524073,28.755033016204834,NoReinjection,OYC
300,0.01,6,16,11.594510078430176,0.8941176470588236,0.9276315789473685,0.9263686763686764,0.927250576513075,22.531090614185814,11.592970848083496,NoEnrichment,OYC
300,0.01,6,16,13.878373622894287,0.9213483146067416,0.9144736842105263,0.9112215909090908,0.9120957337959874,37.45192450698232,13.877082824707031,NoEnrichment,OYC
300,0.01,6,16,12.416851282119751,0.9204545454545454,0.9407894736842105,0.9372271695477563,0.9398496240601504,47.15727111531305,12.415125846862793,NoEnrichment,OYC
300,0.01,6,16,10.378535509109497,0.8791208791208791,0.9078947368421053,0.9022175659158372,0.9059239610963749,15.413642590488791,10.376844644546509,NoEnrichment,OYC
300,0.01,6,16,11.115278720855713,0.9444444444444444,0.9276315789473685,0.9260493604755899,0.9248978125140367,28.30304825305211,11.113962411880493,NoEnrichment,OYC
300,0.01,6,16,20.91893458366394,0.8313253012048193,0.8486842105263158,0.8477130977130978,0.8481518481518482,113.39725893735886,20.917298793792725,Conv,OYC
300,0.01,6,16,20.140827178955078,0.8829787234042553,0.8947368421052632,0.8856534090909092,0.8904701855521528,114.38707783818245,20.139943599700928,Conv,OYC
300,0.01,6,16,21.462836265563965,0.8470588235294118,0.8421052631578947,0.8395320412083116,0.8403361344537816,133.43154221773148,21.46174955368042,Conv,OYC
300,0.01,6,16,23.677205085754395,0.8295454545454546,0.8355263157894737,0.8310633839706653,0.8329156223893066,135.6234254539013,23.676213264465332,Conv,OYC
300,0.01,6,16,23.506014823913574,0.8494623655913979,0.8289473684210527,0.8193118357052783,0.8210144927536231,143.18740843236446,23.505036115646362,Conv,OYC
300,0.01,6,16,115.78234672546387,0.7666666666666667,0.8026315789473685,0.8004158004158004,0.8004201680672269,2.7455782958750206,115.77851343154907,GAT,OYC
300,0.01,6,16,121.78844165802002,0.797752808988764,0.7697368421052632,0.7627840909090908,0.7633346679122737,2.517027179181241,121.7852189540863,GAT,OYC
300,0.01,6,16,116.62652850151062,0.8888888888888888,0.868421052631579,0.8685175484546883,0.867595818815331,3.2132004360828432,116.62275981903076,GAT,OYC
300,0.01,6,16,124.84462928771973,0.8095238095238095,0.7960526315789473,0.7936965252313601,0.7940469426111281,2.857284904435801,124.83976411819458,GAT,OYC
300,0.01,6,16,120.14515352249146,0.8795180722891566,0.8157894736842105,0.819131687984147,0.8118479221927497,2.934698066455894,120.14136528968811,GAT,OYC
300,0.01,6,16,30.331364393234253,0.8651685393258427,0.9144736842105263,0.9125086625086625,0.9136325888369246,3.258190479253244,30.32763361930847,SAGE,OYC
300,0.01,6,16,25.719443559646606,0.9318181818181818,0.9210526315789473,0.9190340909090908,0.9190340909090908,2.912880441497691,25.7168607711792,SAGE,OYC
300,0.01,6,16,24.74888586997986,0.9204545454545454,0.9407894736842105,0.9372271695477563,0.9398496240601504,2.7578935134260973,24.746265649795532,SAGE,OYC
300,0.01,6,16,28.31322169303894,0.9101123595505618,0.9342105263157895,0.9299807927361621,0.9330514446793517,3.25539433211452,28.31056237220764,SAGE,OYC
300,0.01,6,16,29.936758995056152,0.9775280898876404,0.9605263157894737,0.9616285353990273,0.9591397849462365,2.8271125913015567,29.932655811309814,SAGE,OYC
