Epochs,Learning rate,Layers,Channels,Time,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,16,19.8750638961792,0.7425149700598802,0.6807909604519774,0.6852126288659793,0.6806660972163459,123.04517007619143,19.873178958892822,NoReinjection,MITOCW
300,0.01,6,16,21.097413539886475,0.7127659574468085,0.6779661016949152,0.676610824742268,0.6759387145472648,96.89640802890062,21.09546160697937,NoReinjection,MITOCW
300,0.01,6,16,23.11015510559082,0.7108433734939759,0.6214689265536724,0.6292156862745099,0.620694066847913,113.75868167728186,23.10822319984436,NoReinjection,MITOCW
300,0.01,6,16,29.066571950912476,0.7336956521739131,0.7033898305084746,0.7030963928949989,0.7023423423423423,115.92508018016815,29.063379049301147,NoReinjection,MITOCW
300,0.01,6,16,19.54623317718506,0.7540106951871658,0.7005649717514124,0.7004194712710955,0.6977770618556702,131.27303628623486,19.544424772262573,NoReinjection,MITOCW
300,0.01,6,16,14.39162826538086,0.7483870967741936,0.6694915254237288,0.6770940721649484,0.6694255772561477,129.20430454611778,14.390453815460205,NoEnrichment,MITOCW
300,0.01,6,16,14.887840032577515,0.7643979057591623,0.7372881355932204,0.7356636597938144,0.7352579309235656,168.93364453315735,14.886600494384766,NoEnrichment,MITOCW
300,0.01,6,16,14.994479179382324,0.7225433526011561,0.6412429378531074,0.646372549019608,0.6397220864352857,117.82079966366291,14.993364095687866,NoEnrichment,MITOCW
300,0.01,6,16,12.698799848556519,0.7230769230769231,0.7062146892655368,0.7034657758648379,0.7037942908634505,122.47873651981354,12.697640180587769,NoEnrichment,MITOCW
300,0.01,6,16,12.554393529891968,0.726775956284153,0.6666666666666666,0.6674470783338211,0.6642554012345679,134.30910520255566,12.553168058395386,NoEnrichment,MITOCW
300,0.01,6,16,28.545676231384277,0.7281553398058253,0.7175141242937854,0.7115979381443299,0.7126623376623377,171.05023682117462,28.544692993164062,Conv,MITOCW
300,0.01,6,16,28.57781434059143,0.7428571428571429,0.7401129943502824,0.733311855670103,0.7348228243877019,163.79328215122223,28.576786994934082,Conv,MITOCW
300,0.01,6,16,27.363834619522095,0.7669902912621359,0.7344632768361582,0.7272549019607844,0.7276477328531674,158.43708434700966,27.362898349761963,Conv,MITOCW
300,0.01,6,16,26.174275398254395,0.7248677248677249,0.7005649717514124,0.6991295410015097,0.698940949935815,166.98089227080345,26.173392057418823,Conv,MITOCW
300,0.01,6,16,29.104657888412476,0.7653061224489796,0.7259887005649718,0.7228075309725881,0.7218852000939523,171.9301172196865,29.103683471679688,Conv,MITOCW
300,0.01,6,16,132.85903930664062,0.8507462686567164,0.8502824858757062,0.8469716494845361,0.8482468556638492,7.359270482927968,132.85541152954102,GAT,MITOCW
300,0.01,6,16,143.1634075641632,0.8269230769230769,0.8361581920903954,0.8307989690721649,0.8330894546873475,6.119372028924772,143.15977549552917,GAT,MITOCW
300,0.01,6,16,146.71003913879395,0.8578431372549019,0.8361581920903954,0.8322549019607843,0.8322549019607842,7.106277593959021,146.7060194015503,GAT,MITOCW
300,0.01,6,16,153.47154474258423,0.8186274509803921,0.827683615819209,0.8236758423537724,0.8253407206697132,6.373961657136533,153.4680905342102,GAT,MITOCW
300,0.01,6,16,141.72037363052368,0.8585365853658536,0.847457627118644,0.8430397034435665,0.844093563435879,6.230386857663689,141.717027425766,GAT,MITOCW
300,0.01,6,16,28.7431001663208,0.821256038647343,0.827683615819209,0.8225193298969072,0.8245916154239807,7.366085191628372,28.739691972732544,SAGE,MITOCW
300,0.01,6,16,29.25830364227295,0.8423645320197044,0.844632768361582,0.8407216494845361,0.8423060412903851,6.554909034528464,29.255982160568237,SAGE,MITOCW
300,0.01,6,16,29.685319423675537,0.8300970873786407,0.807909604519774,0.8024509803921569,0.8029792110001637,6.246076339326464,29.68293833732605,SAGE,MITOCW
300,0.01,6,16,33.91463255882263,0.8040201005025126,0.8022598870056498,0.7992162656987762,0.8001935171746493,6.354341255213512,33.912450551986694,SAGE,MITOCW
300,0.01,6,16,29.720904111862183,0.8140703517587939,0.7853107344632768,0.7820700419471271,0.7816233766233766,6.210285150164054,29.718592882156372,SAGE,MITOCW
