Model|Accuracy|Params|Embedding
RF|0.6467391304347826|(0, 5, 150, 'gini')|FastText
RF|0.6222826086956522|(0, 5, 150, 'entropy')|FastText
RF|0.6222826086956522|(0, 5, 150, 'log_loss')|FastText
RF|0.6413043478260869|(0, 5, 200, 'gini')|FastText
RF|0.625|(0, 5, 200, 'entropy')|FastText
RF|0.625|(0, 5, 200, 'log_loss')|FastText
RF|0.6467391304347826|(0, 10, 50, 'gini')|FastText
RF|0.6820652173913043|(0, 10, 50, 'entropy')|FastText
RF|0.6820652173913043|(0, 10, 50, 'log_loss')|FastText
RF|0.6494565217391305|(0, 10, 100, 'gini')|FastText
RF|0.6440217391304348|(0, 10, 100, 'entropy')|FastText
RF|0.6440217391304348|(0, 10, 100, 'log_loss')|FastText
RF|0.6630434782608695|(0, 10, 150, 'gini')|FastText
RF|0.654891304347826|(0, 10, 150, 'entropy')|FastText
RF|0.654891304347826|(0, 10, 150, 'log_loss')|FastText
RF|0.657608695652174|(0, 10, 200, 'gini')|FastText
RF|0.6630434782608695|(0, 10, 200, 'entropy')|FastText
RF|0.6630434782608695|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5679347826086957|None|FastText
SVM|0.41032608695652173|(10, 0.01, 'linear')|FastText
RBF|0.5733695652173914|(1, 0.1, 'rbf')|FastText
RBF|0.7853260869565217|(1, 0.01, 'rbf')|FastText
RBF|0.7309782608695652|(1, 0.001, 'rbf')|FastText
RBF|0.5733695652173914|(10, 0.1, 'rbf')|FastText
RBF|0.779891304347826|(10, 0.01, 'rbf')|FastText
RBF|0.8152173913043478|(10, 0.001, 'rbf')|FastText
RBF|0.5733695652173914|(100, 0.1, 'rbf')|FastText
RBF|0.779891304347826|(100, 0.01, 'rbf')|FastText
RBF|0.7934782608695652|(100, 0.001, 'rbf')|FastText
RF|0.5733695652173914|(0, 1, 50, 'gini')|FastText
RF|0.5733695652173914|(0, 1, 50, 'entropy')|FastText
RF|0.5733695652173914|(0, 1, 50, 'log_loss')|FastText
RF|0.5733695652173914|(0, 1, 100, 'gini')|FastText
RF|0.5733695652173914|(0, 1, 100, 'entropy')|FastText
RF|0.5733695652173914|(0, 1, 100, 'log_loss')|FastText
RF|0.5733695652173914|(0, 1, 150, 'gini')|FastText
RF|0.5733695652173914|(0, 1, 150, 'entropy')|FastText
RF|0.5733695652173914|(0, 1, 150, 'log_loss')|FastText
RF|0.5733695652173914|(0, 1, 200, 'gini')|FastText
RF|0.5733695652173914|(0, 1, 200, 'entropy')|FastText
RF|0.5733695652173914|(0, 1, 200, 'log_loss')|FastText
RF|0.5842391304347826|(0, 2, 50, 'gini')|FastText
RF|0.5788043478260869|(0, 2, 50, 'entropy')|FastText
RF|0.5788043478260869|(0, 2, 50, 'log_loss')|FastText
RF|0.5788043478260869|(0, 2, 100, 'gini')|FastText
RF|0.5760869565217391|(0, 2, 100, 'entropy')|FastText
RF|0.5760869565217391|(0, 2, 100, 'log_loss')|FastText
RF|0.5815217391304348|(0, 2, 150, 'gini')|FastText
RF|0.5760869565217391|(0, 2, 150, 'entropy')|FastText
RF|0.5760869565217391|(0, 2, 150, 'log_loss')|FastText
RF|0.5842391304347826|(0, 2, 200, 'gini')|FastText
RF|0.5760869565217391|(0, 2, 200, 'entropy')|FastText
RF|0.5760869565217391|(0, 2, 200, 'log_loss')|FastText
RF|0.6684782608695652|(0, 5, 50, 'gini')|FastText
RF|0.6657608695652174|(0, 5, 50, 'entropy')|FastText
RF|0.6657608695652174|(0, 5, 50, 'log_loss')|FastText
RF|0.6711956521739131|(0, 5, 100, 'gini')|FastText
RF|0.6739130434782609|(0, 5, 100, 'entropy')|FastText
RF|0.6739130434782609|(0, 5, 100, 'log_loss')|FastText
RF|0.6630434782608695|(0, 5, 150, 'gini')|FastText
RF|0.6630434782608695|(0, 5, 150, 'entropy')|FastText
RF|0.6630434782608695|(0, 5, 150, 'log_loss')|FastText
RF|0.6657608695652174|(0, 5, 200, 'gini')|FastText
RF|0.6684782608695652|(0, 5, 200, 'entropy')|FastText
RF|0.6684782608695652|(0, 5, 200, 'log_loss')|FastText
RF|0.6657608695652174|(0, 10, 50, 'gini')|FastText
RF|0.6847826086956522|(0, 10, 50, 'entropy')|FastText
RF|0.6847826086956522|(0, 10, 50, 'log_loss')|FastText
RF|0.6793478260869565|(0, 10, 100, 'gini')|FastText
RF|0.6956521739130435|(0, 10, 100, 'entropy')|FastText
