Epochs|Learning rate|Layers|Channels|Test Accuracy|Validation AUC|Validation Precision|Validation Accuracy|Test AUC|Test Precision|Loss|Duration
50|0.01|4|64|0.523356401384083|0.5435409457900808|0.6360360360360361|0.5435409457900807|0.5233564013840831|0.5743119266055046|38.131276071071625|18.124463081359863
100|0.01|4|64|0.5250865051903114|0.5392156862745098|0.5617059891107078|0.5392156862745098|0.5250865051903114|0.5400183992640294|70.60351914167404|35.68749237060547
200|0.01|4|64|0.5147058823529411|0.5271049596309112|0.5247368421052632|0.5271049596309112|0.5147058823529411|0.5136145221569675|135.3499591946602|75.53918361663818
50|0.01|8|64|0.5210495963091119|0.5426758938869665|0.6045197740112994|0.5426758938869666|0.521049596309112|0.5547226386806596|46.87928968667984|38.53405237197876
100|0.01|8|64|0.5242214532871973|0.5449826989619377|0.5886363636363636|0.5449826989619377|0.5242214532871973|0.553030303030303|80.71992635726929|83.39847779273987
200|0.01|8|64|0.548154555940023|0.5493079584775087|0.574934268185802|0.5493079584775087|0.548154555940023|0.5786993402450519|176.57799750566483|158.16339349746704
50|0.01|12|64|0.5173010380622838|0.5325836216839678|0.6179540709812108|0.5325836216839677|0.5173010380622838|0.5627615062761506|67.36795777082443|63.4919114112854
100|0.01|12|64|0.567762399077278|0.5611303344867359|0.5884808013355592|0.5611303344867359|0.567762399077278|0.5981620718462823|87.70260608196259|121.83521890640259
200|0.01|12|64|0.5325836216839677|0.5516147635524798|0.5373383395911556|0.5516147635524798|0.5325836216839677|0.5242385242385242|207.773334980011|234.92018628120422
50|0.01|16|64|0.5|0.5|0.0|0.5|0.5|0.0|47.682190120220184|83.70659875869751
100|0.01|16|64|0.5098039215686274|0.513840830449827|0.5662983425414365|0.513840830449827|0.5098039215686274|0.5720338983050848|1960.0595290064812|170.34665489196777
200|0.01|16|64|0.504325259515571|0.5193194925028836|0.5191977077363897|0.5193194925028836|0.5043252595155708|0.504164353137146|16734001859.444626|340.90990233421326
50|0.1|4|64|0.4913494809688581|0.5011534025374856|0.501937984496124|0.5011534025374856|0.4913494809688581|0.4860335195530726|508415.5862543583|19.209934949874878
100|0.1|4|64|0.501441753171857|0.5031718569780853|0.5021834061135371|0.5031718569780853|0.501441753171857|0.501010101010101|1656130.0541170835|37.714855909347534
200|0.1|4|64|0.5|0.5|0.0|0.5|0.5|0.0|7257349452.509037|73.95928597450256
50|0.1|8|64|0.4930795847750865|0.4953863898500577|0.49746031746031744|0.4953863898500577|0.4930795847750865|0.4961340206185567|608181528638.885|41.46673536300659
100|0.1|8|64|0.5126874279123415|0.5222029988465975|0.512202852614897|0.5222029988465975|0.5126874279123413|0.5070876288659794|116001262583359.9|79.43265581130981
200|0.1|8|64|0.5147058823529411|0.4979815455594002|0.4950213371266003|0.4979815455594002|0.5147058823529412|0.5333333333333333|684958986690459.9|164.01415038108826
50|0.1|12|64|0.47837370242214533|0.4826989619377162|0.49112950916617387|0.4826989619377163|0.47837370242214533|0.4888492417484389|341813167425077.5|59.17311644554138
