Model|Accuracy|Params
RF|0.7096774193548387|(0, 1, 200, 'entropy')
RF|0.7096774193548387|(0, 1, 200, 'log_loss')
RF|0.7096774193548387|(0, 2, 50, 'gini')
RF|0.6774193548387096|(0, 2, 50, 'entropy')
RF|0.6774193548387096|(0, 2, 50, 'log_loss')
RF|0.7161290322580646|(0, 2, 100, 'gini')
RF|0.7096774193548387|(0, 2, 100, 'entropy')
RF|0.7096774193548387|(0, 2, 100, 'log_loss')
RF|0.7225806451612903|(0, 2, 150, 'gini')
RF|0.7161290322580646|(0, 2, 150, 'entropy')
RF|0.7161290322580646|(0, 2, 150, 'log_loss')
RF|0.7161290322580646|(0, 2, 200, 'gini')
RF|0.7161290322580646|(0, 2, 200, 'entropy')
RF|0.7161290322580646|(0, 2, 200, 'log_loss')
RF|0.7354838709677419|(0, 5, 50, 'gini')
RF|0.7032258064516129|(0, 5, 50, 'entropy')
RF|0.7032258064516129|(0, 5, 50, 'log_loss')
RF|0.7612903225806451|(0, 5, 100, 'gini')
RF|0.7290322580645161|(0, 5, 100, 'entropy')
RF|0.7290322580645161|(0, 5, 100, 'log_loss')
RF|0.7548387096774194|(0, 5, 150, 'gini')
RF|0.7225806451612903|(0, 5, 150, 'entropy')
RF|0.7225806451612903|(0, 5, 150, 'log_loss')
RF|0.7548387096774194|(0, 5, 200, 'gini')
RF|0.7354838709677419|(0, 5, 200, 'entropy')
RF|0.7354838709677419|(0, 5, 200, 'log_loss')
RF|0.7161290322580646|(0, 10, 50, 'gini')
RF|0.7290322580645161|(0, 10, 50, 'entropy')
RF|0.7290322580645161|(0, 10, 50, 'log_loss')
RF|0.7290322580645161|(0, 10, 100, 'gini')
RF|0.7419354838709677|(0, 10, 100, 'entropy')
RF|0.7419354838709677|(0, 10, 100, 'log_loss')
RF|0.7419354838709677|(0, 10, 150, 'gini')
RF|0.7419354838709677|(0, 10, 150, 'entropy')
RF|0.7419354838709677|(0, 10, 150, 'log_loss')
RF|0.7354838709677419|(0, 10, 200, 'gini')
RF|0.7419354838709677|(0, 10, 200, 'entropy')
RF|0.7419354838709677|(0, 10, 200, 'log_loss')
Linear Regression|0.7161290322580646|None
SVM|0.6774193548387096|(1, 0.1, 'linear')
SVM|0.6774193548387096|(1, 0.01, 'linear')
SVM|0.6774193548387096|(1, 0.001, 'linear')
SVM|0.6774193548387096|(1, 0.0001, 'linear')
SVM|0.6774193548387096|(10, 0.1, 'linear')
SVM|0.6774193548387096|(10, 0.01, 'linear')
SVM|0.6774193548387096|(10, 0.001, 'linear')
SVM|0.6774193548387096|(10, 0.0001, 'linear')
SVM|0.6774193548387096|(100, 0.1, 'linear')
SVM|0.6774193548387096|(100, 0.01, 'linear')
SVM|0.6774193548387096|(100, 0.001, 'linear')
SVM|0.6774193548387096|(100, 0.0001, 'linear')
SVM|0.6774193548387096|(1000, 0.1, 'linear')
SVM|0.6774193548387096|(1000, 0.01, 'linear')
SVM|0.6774193548387096|(1000, 0.001, 'linear')
SVM|0.6774193548387096|(1000, 0.0001, 'linear')
RBF|0.5419354838709678|(1, 0.1, 'rbf')
RBF|0.5419354838709678|(1, 0.01, 'rbf')
RBF|0.7870967741935484|(1, 0.001, 'rbf')
RBF|0.7483870967741936|(1, 0.0001, 'rbf')
RBF|0.5419354838709678|(10, 0.1, 'rbf')
RBF|0.5419354838709678|(10, 0.01, 'rbf')
RBF|0.7483870967741936|(10, 0.001, 'rbf')
RBF|0.7225806451612903|(10, 0.0001, 'rbf')
RBF|0.5419354838709678|(100, 0.1, 'rbf')
RBF|0.5419354838709678|(100, 0.01, 'rbf')
RBF|0.7483870967741936|(100, 0.001, 'rbf')
RBF|0.7419354838709677|(100, 0.0001, 'rbf')
RBF|0.5419354838709678|(1000, 0.1, 'rbf')
RBF|0.5419354838709678|(1000, 0.01, 'rbf')
RBF|0.7483870967741936|(1000, 0.001, 'rbf')
RBF|0.7419354838709677|(1000, 0.0001, 'rbf')
RF|0.6645161290322581|(0, 1, 50, 'gini')
RF|0.6645161290322581|(0, 1, 50, 'entropy')
RF|0.6645161290322581|(0, 1, 50, 'log_loss')
RF|0.6516129032258065|(0, 1, 100, 'gini')
RF|0.6451612903225806|(0, 1, 100, 'entropy')
RF|0.6451612903225806|(0, 1, 100, 'log_loss')
RF|0.6580645161290323|(0, 1, 150, 'gini')
RF|0.6580645161290323|(0, 1, 150, 'entropy')
RF|0.6580645161290323|(0, 1, 150, 'log_loss')
RF|0.6580645161290323|(0, 1, 200, 'gini')
RF|0.6516129032258065|(0, 1, 200, 'entropy')
RF|0.6516129032258065|(0, 1, 200, 'log_loss')
RF|0.6838709677419355|(0, 2, 50, 'gini')
RF|0.6774193548387096|(0, 2, 50, 'entropy')
RF|0.6774193548387096|(0, 2, 50, 'log_loss')
RF|0.6838709677419355|(0, 2, 100, 'gini')
RF|0.6967741935483871|(0, 2, 100, 'entropy')
RF|0.6967741935483871|(0, 2, 100, 'log_loss')
RF|0.7032258064516129|(0, 2, 150, 'gini')
RF|0.6838709677419355|(0, 2, 150, 'entropy')
RF|0.6838709677419355|(0, 2, 150, 'log_loss')
RF|0.7096774193548387|(0, 2, 200, 'gini')
RF|0.6838709677419355|(0, 2, 200, 'entropy')
RF|0.6838709677419355|(0, 2, 200, 'log_loss')
RF|0.6967741935483871|(0, 5, 50, 'gini')
RF|0.7161290322580646|(0, 5, 50, 'entropy')
RF|0.7161290322580646|(0, 5, 50, 'log_loss')
RF|0.7032258064516129|(0, 5, 100, 'gini')
RF|0.7032258064516129|(0, 5, 100, 'entropy')
RF|0.7032258064516129|(0, 5, 100, 'log_loss')
RF|0.7290322580645161|(0, 5, 150, 'gini')
RF|0.6967741935483871|(0, 5, 150, 'entropy')
RF|0.6967741935483871|(0, 5, 150, 'log_loss')
RF|0.7225806451612903|(0, 5, 200, 'gini')
RF|0.7032258064516129|(0, 5, 200, 'entropy')
RF|0.7032258064516129|(0, 5, 200, 'log_loss')
RF|0.6838709677419355|(0, 10, 50, 'gini')
RF|0.7161290322580646|(0, 10, 50, 'entropy')
RF|0.7161290322580646|(0, 10, 50, 'log_loss')
RF|0.6580645161290323|(0, 10, 100, 'gini')
RF|0.7225806451612903|(0, 10, 100, 'entropy')
RF|0.7225806451612903|(0, 10, 100, 'log_loss')
RF|0.6967741935483871|(0, 10, 150, 'gini')
RF|0.7096774193548387|(0, 10, 150, 'entropy')
RF|0.7096774193548387|(0, 10, 150, 'log_loss')
RF|0.6709677419354839|(0, 10, 200, 'gini')
RF|0.7096774193548387|(0, 10, 200, 'entropy')
RF|0.7096774193548387|(0, 10, 200, 'log_loss')
Linear Regression|0.6645161290322581|None
SVM|0.6193548387096774|(1, 0.1, 'linear')
SVM|0.6193548387096774|(1, 0.01, 'linear')
SVM|0.6193548387096774|(1, 0.001, 'linear')
