Model|Accuracy|Params|Embedding
SVM|0.5921052631578947|(100, 0.0001, 'linear')|FastText
SVM|0.5921052631578947|(1000, 0.1, 'linear')|FastText
SVM|0.5921052631578947|(1000, 0.01, 'linear')|FastText
SVM|0.5921052631578947|(1000, 0.001, 'linear')|FastText
SVM|0.5921052631578947|(1000, 0.0001, 'linear')|FastText
RBF|0.5460526315789473|(1, 0.1, 'rbf')|FastText
RBF|0.5460526315789473|(1, 0.01, 'rbf')|FastText
RBF|0.6907894736842105|(1, 0.001, 'rbf')|FastText
RBF|0.5460526315789473|(1, 0.0001, 'rbf')|FastText
RBF|0.5460526315789473|(10, 0.1, 'rbf')|FastText
RBF|0.5460526315789473|(10, 0.01, 'rbf')|FastText
RBF|0.7631578947368421|(10, 0.001, 'rbf')|FastText
RBF|0.5789473684210527|(10, 0.0001, 'rbf')|FastText
RBF|0.5460526315789473|(100, 0.1, 'rbf')|FastText
RBF|0.5460526315789473|(100, 0.01, 'rbf')|FastText
RBF|0.75|(100, 0.001, 'rbf')|FastText
RBF|0.6842105263157895|(100, 0.0001, 'rbf')|FastText
RBF|0.5460526315789473|(1000, 0.1, 'rbf')|FastText
RBF|0.5460526315789473|(1000, 0.01, 'rbf')|FastText
RBF|0.75|(1000, 0.001, 'rbf')|FastText
RBF|0.6776315789473685|(1000, 0.0001, 'rbf')|FastText
RF|0.5526315789473685|(0, 1, 50, 'gini')|FastText
RF|0.5526315789473685|(0, 1, 50, 'entropy')|FastText
RF|0.5526315789473685|(0, 1, 50, 'log_loss')|FastText
RF|0.5460526315789473|(0, 1, 100, 'gini')|FastText
RF|0.5526315789473685|(0, 1, 100, 'entropy')|FastText
RF|0.5526315789473685|(0, 1, 100, 'log_loss')|FastText
RF|0.5526315789473685|(0, 1, 150, 'gini')|FastText
RF|0.5526315789473685|(0, 1, 150, 'entropy')|FastText
RF|0.5526315789473685|(0, 1, 150, 'log_loss')|FastText
RF|0.5526315789473685|(0, 1, 200, 'gini')|FastText
RF|0.5526315789473685|(0, 1, 200, 'entropy')|FastText
RF|0.5526315789473685|(0, 1, 200, 'log_loss')|FastText
RF|0.5460526315789473|(0, 2, 50, 'gini')|FastText
RF|0.5657894736842105|(0, 2, 50, 'entropy')|FastText
RF|0.5657894736842105|(0, 2, 50, 'log_loss')|FastText
RF|0.5263157894736842|(0, 2, 100, 'gini')|FastText
RF|0.5328947368421053|(0, 2, 100, 'entropy')|FastText
RF|0.5328947368421053|(0, 2, 100, 'log_loss')|FastText
RF|0.5197368421052632|(0, 2, 150, 'gini')|FastText
RF|0.5263157894736842|(0, 2, 150, 'entropy')|FastText
RF|0.5263157894736842|(0, 2, 150, 'log_loss')|FastText
RF|0.5197368421052632|(0, 2, 200, 'gini')|FastText
RF|0.5263157894736842|(0, 2, 200, 'entropy')|FastText
RF|0.5263157894736842|(0, 2, 200, 'log_loss')|FastText
RF|0.5921052631578947|(0, 5, 50, 'gini')|FastText
RF|0.6052631578947368|(0, 5, 50, 'entropy')|FastText
RF|0.6052631578947368|(0, 5, 50, 'log_loss')|FastText
RF|0.5723684210526315|(0, 5, 100, 'gini')|FastText
RF|0.5592105263157895|(0, 5, 100, 'entropy')|FastText
RF|0.5592105263157895|(0, 5, 100, 'log_loss')|FastText
RF|0.5592105263157895|(0, 5, 150, 'gini')|FastText
RF|0.5526315789473685|(0, 5, 150, 'entropy')|FastText
RF|0.5526315789473685|(0, 5, 150, 'log_loss')|FastText
RF|0.5657894736842105|(0, 5, 200, 'gini')|FastText
RF|0.5723684210526315|(0, 5, 200, 'entropy')|FastText
RF|0.5723684210526315|(0, 5, 200, 'log_loss')|FastText
RF|0.625|(0, 10, 50, 'gini')|FastText
RF|0.5986842105263158|(0, 10, 50, 'entropy')|FastText
RF|0.5986842105263158|(0, 10, 50, 'log_loss')|FastText
RF|0.5921052631578947|(0, 10, 100, 'gini')|FastText
RF|0.5986842105263158|(0, 10, 100, 'entropy')|FastText
RF|0.5986842105263158|(0, 10, 100, 'log_loss')|FastText
RF|0.5789473684210527|(0, 10, 150, 'gini')|FastText
RF|0.5921052631578947|(0, 10, 150, 'entropy')|FastText
RF|0.5921052631578947|(0, 10, 150, 'log_loss')|FastText
RF|0.5592105263157895|(0, 10, 200, 'gini')|FastText
RF|0.6052631578947368|(0, 10, 200, 'entropy')|FastText
RF|0.6052631578947368|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.6578947368421053|None|FastText
SVM|0.5657894736842105|(1, 0.1, 'linear')|FastText
SVM|0.5657894736842105|(1, 0.01, 'linear')|FastText
SVM|0.5657894736842105|(1, 0.001, 'linear')|FastText
SVM|0.5657894736842105|(1, 0.0001, 'linear')|FastText
SVM|0.5657894736842105|(10, 0.1, 'linear')|FastText
SVM|0.5657894736842105|(10, 0.01, 'linear')|FastText
SVM|0.5657894736842105|(10, 0.001, 'linear')|FastText
SVM|0.5657894736842105|(10, 0.0001, 'linear')|FastText
SVM|0.5657894736842105|(100, 0.1, 'linear')|FastText
SVM|0.5657894736842105|(100, 0.01, 'linear')|FastText
SVM|0.5657894736842105|(100, 0.001, 'linear')|FastText
SVM|0.5657894736842105|(100, 0.0001, 'linear')|FastText
SVM|0.5657894736842105|(1000, 0.1, 'linear')|FastText
SVM|0.5657894736842105|(1000, 0.01, 'linear')|FastText
SVM|0.5657894736842105|(1000, 0.001, 'linear')|FastText
SVM|0.5657894736842105|(1000, 0.0001, 'linear')|FastText
RBF|0.5986842105263158|(1, 0.1, 'rbf')|FastText
RBF|0.6118421052631579|(1, 0.01, 'rbf')|FastText
RBF|0.7697368421052632|(1, 0.001, 'rbf')|FastText
RBF|0.5986842105263158|(1, 0.0001, 'rbf')|FastText
RBF|0.5986842105263158|(10, 0.1, 'rbf')|FastText
RBF|0.6447368421052632|(10, 0.01, 'rbf')|FastText
RBF|0.7763157894736842|(10, 0.001, 'rbf')|FastText
RBF|0.6907894736842105|(10, 0.0001, 'rbf')|FastText
RBF|0.5986842105263158|(100, 0.1, 'rbf')|FastText
RBF|0.6447368421052632|(100, 0.01, 'rbf')|FastText
RBF|0.7763157894736842|(100, 0.001, 'rbf')|FastText
RBF|0.7236842105263158|(100, 0.0001, 'rbf')|FastText
RBF|0.5986842105263158|(1000, 0.1, 'rbf')|FastText
RBF|0.6447368421052632|(1000, 0.01, 'rbf')|FastText
RBF|0.7763157894736842|(1000, 0.001, 'rbf')|FastText
