Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.001|1|16|0.3986086857989231|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.41691875299721376|0.4580152671755725|0.4295874822190612|0.3557460034509159|7.055945295607671|3.8637702465057373
100|0.001|1|16|0.4097618618843445|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.41928819588473704|0.4580152671755725|0.4295874822190612|0.3557460034509159|7.031466701882891|7.597482204437256
150|0.001|1|16|0.4030420328241695|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4172708307618842|0.4580152671755725|0.4295874822190612|0.3557460034509159|6.336513883055886|11.153764486312866
200|0.001|1|16|0.3983314751451309|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4167245031960163|0.4580152671755725|0.4295874822190612|0.3557460034509159|6.46999190938368|14.362533569335938
50|0.001|2|16|0.4079660629409825|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4212569985572906|0.4580152671755725|0.4295874822190612|0.3557460034509159|6.183551617199555|5.294604778289795
100|0.001|2|16|0.4088917846498142|0.46395250212044103|0.4395448079658606|0.3669923325677328|0.4281994055146709|0.46199324324324326|0.4359886201991465|0.3612294647588765|5.571106316885562|10.564615726470947
150|0.001|2|16|0.4333510721172621|0.461734693877551|0.4359886201991465|0.3640102971467229|0.4374323413778381|0.4593908629441624|0.4317211948790896|0.3571035741775615|5.613521306455368|15.891147375106812
200|0.001|2|16|0.4003579457274149|0.4598976109215017|0.43314366998577525|0.3621731768054074|0.4105074978399827|0.45893310753598643|0.4310099573257468|0.3566512921883007|6.0580382372645545|21.21252942085266
50|0.001|4|16|0.39264359815381755|0.46121057118499575|0.4352773826458037|0.36423423177154524|0.4099298070249631|0.4583333333333333|0.43029871977240397|0.35759425979133047|5.7936314192083955|10.038748502731323
100|0.001|4|16|0.4556189790149512|0.4763877381938691|0.4594594594594595|0.3797610893767195|0.47248633675226476|0.4761513157894737|0.45874822190611664|0.37562782034082465|5.534809000541827|20.15961456298828
150|0.001|4|16|0.40056737129433095|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.41901907897266133|0.45879354290569246|0.4310099573257468|0.3580494931969683|6.362475735555563|30.425209760665894
200|0.001|4|16|0.39182005993415747|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4064434277805543|0.4592529711375212|0.4317211948790896|0.35850448632403514|6.204127258245535|40.13336682319641
50|0.001|6|16|0.4079205356438268|0.4735099337748344|0.4544807965860597|0.3736815480909344|0.4276247498527951|0.47126436781609193|0.45021337126600286|0.3650204398078769|5.737683946364768|14.829303741455078
100|0.001|6|16|0.3961036727376474|0.46075085324232085|0.4345661450924609|0.3637737459978655|0.4147486184994608|0.4583333333333333|0.43029871977240397|0.35759425979133047|6.013825369712151|29.637520790100098
150|0.001|6|16|0.47751255035824924|0.46297872340425533|0.43812233285917496|0.3667576559873938|0.492941245505444|0.45971162001696353|0.43243243243243246|0.358959240341435|5.487185229730301|44.74486827850342
200|0.001|6|16|0.3933760817791663|0.4750830564784053|0.457325746799431|0.3784006002891354|0.3938778937655931|0.47093023255813954|0.45021337126600286|0.37025381916579514|5.427038946235115|59.76849007606506
50|0.01|1|16|0.3974027182831555|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.41893207124920834|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.4036559387160068|3.570030927658081
100|0.01|1|16|0.4016418155072045|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4127626166257595|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.0491154431196996|7.299200773239136
150|0.01|1|16|0.4029408610527125|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.41942174262306026|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.2278500818314093|10.609158277511597
200|0.01|1|16|0.41444206803194594|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4246017373216594|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.0504233656436597|14.108485460281372
50|0.01|2|16|0.39716597633794615|0.4602224123182207|0.43385490753911804|0.36398890707401343|0.40551062404772076|0.45741056218057924|0.42887624466571833|0.3566830674731267|1.232518852912552|5.601415634155273
100|0.01|2|16|0.3988434043087034|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4207855381023009|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.2279917943685277|10.655664443969727
150|0.01|2|16|0.39677545330012204|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4228727117474591|0.4580152671755725|0.4295874822190612|0.3557460034509159|1.1921773627284153|16.7965247631073
200|0.01|2|16|0.41464036470400173|0.4625735912531539|0.4366998577524893|0.360262891809909|0.4162955348850385|0.46121768140116765|0.43385490753911804|0.35338394518205246|1.040188253728413|20.80631709098816
50|0.01|4|16|0.46155573856404875|0.47266881028938906|0.46372688477951635|0.448981670907972|0.4719946419429836|0.47357293868921774|0.4644381223328592|0.44794807765408773|1.0904253986287777|10.279348850250244
100|0.01|4|16|0.45018605488770946|0.4732905982905983|0.4644381223328592|0.4493148932119735|0.4662480853242252|0.4753410283315845|0.4665718349928876|0.44915626096986117|1.0391340133925802|20.6081485748291
150|0.01|4|16|0.3845306338006794|0.46302521008403363|0.43741109530583216|0.36071328593345736|0.40870360515490406|0.46121768140116765|0.43385490753911804|0.35338394518205246|1.2606901021065298|30.23841691017151
200|0.01|4|16|0.41142714924252693|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4105348142182761|0.4583333333333333|0.43029871977240397|0.35759425979133047|1.0627928495474883|40.43243074417114
50|0.01|6|16|0.40634630287995566|0.46030405405405406|0.43314366998577525|0.3580074191838898|0.41117421981388436|0.4603174603174603|0.43243243243243246|0.3525|1.5370596879377985|14.765812158584595
100|0.01|6|16|0.40568463949462674|0.46068376068376066|0.4345661450924609|0.36445094149414325|0.42094943637206117|0.4583333333333333|0.43029871977240397|0.35759425979133047|1.2122847438719013|29.553630590438843
150|0.01|6|16|0.4082564259250641|0.4964761158966327|0.49359886201991465|0.3923174048174048|0.41891183689491696|0.4905511811023622|0.4829302987197724|0.38250892411077553|1.1588132543229186|45.46181011199951
