Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.001|1|16|0.444237154726037|0.5313531353135313|0.5135135135135135|0.47067099066729196|0.430536473435328|0.5310344827586206|0.5128022759601707|0.46679532981558103|6.6945232572034|2.4316203594207764
100|0.001|1|16|0.4842242856767076|0.5219399538106235|0.5135135135135135|0.49488638273555413|0.4744106238453772|0.5270935960591133|0.515647226173542|0.4930253565156063|6.405986923637101|4.727026462554932
150|0.001|1|16|0.4394618471132658|0.48021108179419525|0.48933143669985774|0.4606925731625229|0.42821154612724577|0.4877384196185286|0.49359886201991465|0.46292691824844145|5.976506268110825|6.999149799346924
200|0.001|1|16|0.4442836937409072|0.5344827586206896|0.5142247510668563|0.4683521317723239|0.42756607022535|0.5384615384615384|0.515647226173542|0.4689328083410106|5.992739560679183|9.202611684799194
50|0.001|2|16|0.5709568219113776|0.7578947368421053|0.534850640113798|0.4278621081004398|0.5548037368805505|0.7373737373737373|0.5334281650071123|0.4278383642882843|5.735383594757877|4.766256332397461
100|0.001|2|16|0.571885578773353|0.7017543859649122|0.5490753911806543|0.4737290797325795|0.5589821310417252|0.6075268817204301|0.5284495021337127|0.45472221588526085|5.968408358403394|9.41622543334961
150|0.001|2|16|0.5662745923283469|0.5926829268292683|0.5540540540540541|0.5338085349079607|0.5587453890965158|0.5704387990762124|0.5433854907539118|0.5259021311640727|7.5782599121230305|14.203446626663208
200|0.001|2|16|0.5991756524061682|0.7355769230769231|0.569701280227596|0.5088205352662617|0.5821747479305315|0.6621004566210046|0.55049786628734|0.4900710440840592|5.796518199582351|19.011777639389038
50|0.001|4|16|0.6021501024870045|0.7171428571428572|0.6081081081081081|0.581743490403714|0.5860718845670556|0.6935483870967742|0.6024182076813656|0.57909038572251|6.385165723641876|11.058454990386963
100|0.001|4|16|0.5719220006110775|0.6175824175824176|0.5761024182076814|0.5624904716258069|0.5588526311742602|0.6168831168831169|0.5768136557610242|0.564003742009793|6.634308257226621|21.555484771728516
150|0.001|4|16|0.6117958191777164|0.7106227106227107|0.5817923186344239|0.5386397728490303|0.5969073812901019|0.6749116607773852|0.5704125177809388|0.5283231395062085|5.985300234401848|32.548609495162964
200|0.001|4|16|0.6148147848379937|0.7692307692307693|0.6294452347083926|0.6026678079052469|0.5954909764897038|0.7701863354037267|0.6237553342816501|0.5939377891820328|6.222160026428043|43.3022027015686
50|0.001|6|16|0.5767418238032898|0.6659574468085107|0.6109530583214794|0.5999671269415001|0.5668108027170691|0.6608315098468271|0.604551920341394|0.5920639559155048|6.020439502057297|17.31407356262207
100|0.001|6|16|0.57128057158004|0.5852895148669797|0.577524893314367|0.5766477082636333|0.5632758610223609|0.5930807248764415|0.5803698435277382|0.5784043666968216|6.437099766198173|34.51834797859192
150|0.001|6|16|0.5736560847738508|0.6596638655462185|0.6081081081081081|0.5976194965270474|0.5617117454356355|0.6530172413793104|0.60099573257468|0.5891233855025355|6.089557647982872|52.14795780181885
200|0.001|6|16|0.5909766920472918|0.6806167400881057|0.616642958748222|0.6042301294889638|0.576329042975745|0.672645739910314|0.6095305832147937|0.596033466838533|6.897040230028466|69.86303305625916
50|0.01|1|16|0.5093917755443548|0.5013357079252003|0.5021337126600285|0.45335463187805625|0.4801005242721197|0.49460431654676257|0.4914651493598862|0.44445457584875836|1.4917863037765926|2.19889235496521
100|0.01|1|16|0.4439518503305282|0.46722068328716526|0.44950213371266|0.4061216871967152|0.43461976613133313|0.453125|0.4274537695590327|0.38104386334764473|1.1473491314897153|4.432401657104492
150|0.01|1|16|0.48120127314557204|0.4636363636363636|0.4487908961593172|0.42482502994245874|0.46097703603131474|0.4503735325506937|0.43385490753911804|0.41772662948472483|1.1506374486121267|6.68439793586731
200|0.01|1|16|0.4536562466486851|0.4764565043894653|0.45803698435277385|0.3601212659824551|0.445752707862463|0.47901821060965954|0.4623044096728307|0.3609229237462393|1.1871617999115642|8.805640459060669
50|0.01|2|16|0.5871969146656576|0.7108433734939759|0.5248933143669986|0.4102067524220754|0.5843580347585738|0.6666666666666666|0.5220483641536273|0.4112227805695142|1.1968782937344074|4.599252939224243
100|0.01|2|16|0.5313217687253773|0.5173697270471465|0.5199146514935988|0.5173242967368468|0.5280053580570163|0.5261845386533666|0.5298719772403983|0.5275295050672713|1.078353466910908|9.158976316452026
150|0.01|2|16|0.5776017838606744|0.6078431372549019|0.5469416785206259|0.5076909038839024|0.5684437151083853|0.5784313725490197|0.5341394025604552|0.4937795008539341|1.2659779718009467|13.964550733566284
200|0.01|2|16|0.5164434480149087|0.49709302325581395|0.4971550497866287|0.4970978103430569|0.50182412703937|0.4912023460410557|0.4914651493598862|0.49135167818173997|1.2012629782408624|18.431966066360474
50|0.01|4|16|0.52696126537558|0.503584229390681|0.5028449502133713|0.49750052535751155|0.5143410986040319|0.4938704028021016|0.4950213371266003|0.4905308327192035|1.2686312471785222|11.091883420944214
100|0.01|4|16|0.578807751376442|0.6239554317548747|0.5633001422475107|0.5354942157654021|0.5619747920414238|0.5773480662983426|0.5398293029871978|0.511069546452537|1.1093400816218626|21.680192470550537
150|0.01|4|16|0.5457205352391397|0.5147058823529411|0.5113798008534851|0.5050500754526518|0.5496257656173804|0.5156537753222836|0.5120910384068279|0.5056897269218075|1.4696749455139368|32.52101993560791
200|0.01|4|16|0.5282522171793715|0.47904191616766467|0.4900426742532006|0.4523193937006804|0.525043048588755|0.4511494252873563|0.47581792318634425|0.4401254369030657|1.1266948812286834|44.20549750328064
50|0.01|6|16|0.5859383378287324|0.5625|0.5384068278805121|0.5205966181480985|0.5811852880056818|0.5623529411764706|0.5376955903271693|0.5188865585148499|1.455030476360772|20.367030143737793
100|0.01|6|16|0.5698924948756497|0.4988179669030733|0.4992887624466572|0.4786108143756228|0.5666367872701631|0.4904306220095694|0.49431009957325744|0.47264180256392263|1.8399641692781756|34.70259380340576
150|0.01|6|16|0.5074937931118211|0.47644927536231885|0.48150782361308675|0.4754577067452732|0.515207128967704|0.4620811287477954|0.4694167852062589|0.46440556798104515|1.2390672806360215|51.47356867790222
200|0.01|6|16|0.4732370312964758|0.46756756756756757|0.46586059743954483|0.4654904384634114|0.4886637030082414|0.4597222222222222|0.45874822190611664|0.45866908300182085|1.506606671149175|69.93851494789124
50|0.1|1|16|0.41709479187954895|0.41228070175438597|0.42887624466571833|0.42371960858475655|0.42235370055988464|0.41776315789473684|0.42887624466571833|0.42625689154090507|897.0667575150728|2.1905453205108643
100|0.1|1|16|0.5593706306441202|0.5280701754385965|0.5227596017069701|0.518450631831098|0.5546803073193729|0.5221088435374149|0.5184921763869133|0.5152492015984835|248.9330312619058|4.330427408218384
150|0.1|1|16|0.513620755591258|0.5459081836327345|0.5654338549075392|0.5448500213252377|0.5190071407036294|0.5489021956087824|0.569701280227596|0.5493195792172976|52.29003578424454|6.545727729797363
200|0.1|1|16|0.4776238393068519|0.4934876989869754|0.4871977240398293|0.33122486879822144|0.47282020359807286|0.4938539407086045|0.4879089615931721|0.33155313265136327|0.7035239505348727|8.80068564414978
50|0.1|2|16|0.6070710974506737|0.5684803001876173|0.5519203413940256|0.5452725346212607|0.6055130521702358|0.5679245283018868|0.5512091038406828|0.5443100261080781|1034.3999648466706|4.701962232589722
100|0.1|2|16|0.5940745716893056|0.5445205479452054|0.5739687055476529|0.5216467464988007|0.60326703884389|0.5471537807986406|0.5789473684210527|0.5249566249657566|14997.475187778422|9.248288631439209
150|0.1|2|16|0.5441361852981229|0.5757575757575758|0.5711237553342816|0.5707222376653619|0.5484380090204752|0.5844346549192364|0.5817923186344239|0.5816899013940837|3942.610490977764|13.854545831680298
200|0.1|2|16|0.6039287022292188|0.5582089552238806|0.5832147937411095|0.5630557818280555|0.5896756230663545|0.5490981963927856|0.569701280227596|0.5498862055517721|217.08073508739471|18.597212314605713
50|0.1|4|16|0.566917033077099|0.658|0.612375533428165|0.6041231084294649|0.5507973347308528|0.6066536203522505|0.577524893314367|0.5694968793364028|6899.166710615009|11.224296808242798
100|0.1|4|16|0.4190878757772521|0.5008460236886633|0.5014224751066856|0.43595695306441873|0.44248485964440143|0.5113924050632911|0.519203413940256|0.4551737104703206|4288.140424959362|22.5691020488739
150|0.1|4|16|0.4992118719003499|0.49544072948328266|0.49359886201991465|0.47205855984136524|0.5085136045681078|0.4851889683350358|0.4793741109530583|0.45850809718729285|7576.913465440273|33.08545136451721
200|0.1|4|16|0.5393426667664895|0.5579896907216495|0.5640113798008535|0.5628328988940947|0.5301724574016256|0.5532994923857868|0.5597439544807966|0.5581289909530358|333727.4760258198|44.28120708465576
50|0.1|6|16|0.4390956053005915|0.5203327171903882|0.531294452347084|0.4945687720073424|0.46566331248520365|0.5325779036827195|0.5490753911806543|0.5181860439976218|6401088.43615967|18.123140811920166
100|0.1|6|16|0.4293547871447101|0.48160919540229885|0.4772403982930299|0.46975982415119544|0.43022284094381125|0.4666666666666667|0.45874822190611664|0.4510030288150473|551128562.8628176|36.096513509750366
150|0.1|6|16|0.5878039452943997|0.6596638655462185|0.5540540540540541|0.49928632730341904|0.5720292426888219|0.6317991631799164|0.5448079658605974|0.48917424526266784|5608120.119645057|51.91608738899231
200|0.1|6|16|0.4327157133925121|0.46830265848670755|0.45590327169274536|0.43426058443802407|0.46181069142812053|0.47478991596638653|0.46586059743954483|0.44856554220076406|97305931.04404557|69.04842114448547
50|0.001|1|32|0.4648134696049647|0.4742857142857143|0.48079658605974396|0.47233943671240086|0.4579661641127539|0.4878048780487805|0.4914651493598862|0.4797483847095324|5.247349814555491|3.023360252380371
100|0.001|1|32|0.453366895382318|0.5012165450121655|0.5007112375533428|0.47820542913513203|0.43656226414330784|0.5053191489361702|0.5028449502133713|0.4744155725391691|5.195048441019026|6.032121896743774
150|0.001|1|32|0.47025044060306465|0.4791666666666667|0.484352773826458|0.4762387017646083|0.4610033406918935|0.4940944881889764|0.4957325746799431|0.48584261178629584|5.0970737720199395|9.0957670211792
200|0.001|1|32|0.4619442381664437|0.6577181208053692|0.5334281650071123|0.44767653540289354|0.4416410870704499|0.6011560693641619|0.5248933143669986|0.4462008000301898|5.039304456568061|12.449333667755127
50|0.001|2|32|0.595956366638406|0.6776556776556777|0.5689900426742532|0.5245165005893068|0.5812399207622685|0.6164874551971327|0.5462304409672831|0.5008358096001246|4.8905743817344955|6.746551275253296
100|0.001|2|32|0.5999405109983833|0.7|0.5768136557610242|0.5324719017608099|0.5829557940061796|0.6748251748251748|0.5711237553342816|0.5297598875618639|5.1193374945601136|13.415971755981445
150|0.001|2|32|0.5882814760556768|0.6340782122905028|0.5682788051209103|0.5406195786331334|0.5770109407153654|0.6017191977077364|0.55049786628734|0.5200743173176634|5.142204140206559|19.89834213256836
200|0.001|2|32|0.5911810590256349|0.6550387596899225|0.5568990042674253|0.5075710685396032|0.578073244315664|0.6136363636363636|0.542674253200569|0.4932736959220678|4.787484376989255|26.591301202774048
50|0.001|4|32|0.5989308167192423|0.6956521739130435|0.6216216216216216|0.6075757575757577|0.5865635793763366|0.684331797235023|0.6137980085348507|0.5991241680778168|4.805846724740984|16.190658807754517
