Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.001|1|16|0.7327553289458907|0.7350993377483444|0.6682464454976303|0.6614016184865088|0.7644257765998068|0.7593984962406015|0.6635071090047393|0.6516046511627906|28.75019007921219|1.93048095703125
100|0.001|1|16|0.7616405741110936|0.7333333333333333|0.6824644549763034|0.6786461174759048|0.7948159295613306|0.7613636363636364|0.7180094786729858|0.7160562934314907|48.38515090942383|3.9405784606933594
150|0.001|1|16|0.7611239639720581|0.7473118279569892|0.7180094786729858|0.717016324897582|0.7826643606387996|0.7268041237113402|0.7085308056872038|0.7080570319750275|62.68643571436405|5.783172130584717
200|0.001|1|16|0.7578446126547023|0.69|0.6800947867298578|0.6798772778611285|0.7890209114799758|0.7450980392156863|0.7369668246445498|0.7368944308703345|65.7711468115449|7.427191257476807
50|0.001|2|16|0.695402169762584|0.7222222222222222|0.6516587677725119|0.6426509980126156|0.7213899058871094|0.7428571428571429|0.6611374407582938|0.6512658703328074|29.430839896202087|3.5269596576690674
100|0.001|2|16|0.7206711439545382|0.6976744186046512|0.6611374407582938|0.658218313010087|0.7614608836279508|0.7251461988304093|0.6824644549763034|0.6795856848212869|47.35259023308754|7.076546669006348
150|0.001|2|16|0.7459176568360998|0.7159763313609467|0.6729857819905213|0.6697141560798547|0.7395835673053166|0.7071823204419889|0.6777251184834123|0.6760881343687918|61.798708483576775|10.619407892227173
200|0.001|2|16|0.7212102154039667|0.6871794871794872|0.6729857819905213|0.6725150145084015|0.7668740594326273|0.7333333333333333|0.7156398104265402|0.71523044739861|61.8621132299304|14.1003737449646
50|0.001|4|16|0.714651512769255|0.7163120567375887|0.6445497630331753|0.6344927937915743|0.7523865142292401|0.7534246575342466|0.6753554502369669|0.6674661651108081|29.063527405261993|8.198771953582764
100|0.001|4|16|0.7646728510141282|0.7354838709677419|0.6729857819905213|0.6671239454009192|0.7861458637496911|0.7425149700598802|0.6919431279620853|0.6885573495015556|50.09894832968712|16.221468687057495
150|0.001|4|16|0.6968172323173334|0.6581632653061225|0.6469194312796208|0.6464727677542323|0.7226702005795017|0.6836734693877551|0.6706161137440758|0.6701994276364984|65.72537204623222|24.30384635925293
